alpha,beta,delta,theta,gamma
390,520,30228,203,137
117,374,9404,301,17
117,374,9404,301,17
136,361,6331,268,55
140,615,5449,374,46
172,564,1741,253,34
172,564,1741,253,34
123,431,3806,148,14
153,506,6713,197,19
137,530,3136,160,22
54,456,2382,48,5
528,712,23645,1287,116
140,410,8090,207,22
89,452,4873,98,15
89,452,4873,98,15
120,507,12984,292,23
79,380,21812,58,14
128,492,2208,331,36
128,492,2208,331,36
94,400,2385,146,20
112,328,2826,154,34
215,553,8706,216,33
175,613,13505,626,41
210,361,7107,235,26
319,657,6312,961,38
97,485,2477,118,23
97,485,2477,118,23
114,509,1412,88,7
64,368,4933,52,14
64,368,4933,52,14
117,516,1687,80,28
249,641,14074,674,48
249,641,14074,674,48
245,517,29528,549,50
285,591,33533,513,54
285,591,33533,513,54
151,314,14062,213,55
93,293,1328,125,18
93,293,1328,125,18
261,413,4495,340,73
85,388,870,110,28
162,379,4803,203,40
332,458,15641,791,100
332,458,15641,791,100
82,296,3639,92,19
189,643,2889,413,50
144,495,6222,153,20
215,472,11828,371,36
49,228,456,81,14
101,328,674,102,18
104,411,668,177,13
142,637,3960,212,20
142,637,3960,212,20
90,543,4061,155,14
88,485,5334,70,9
152,658,2707,163,22
131,624,772,71,17
94,463,1228,55,15
199,937,1854,207,26
187,798,5228,219,22
135,594,4478,158,19
125,533,3903,86,11
125,533,3903,86,11
142,661,245,90,32
98,628,694,237,28
140,639,563,143,30
140,639,563,143,30
362,751,38747,947,105
362,751,38747,947,105
910,974,28846,941,296
143,530,642,181,30
143,530,642,181,30
537,522,13669,731,192
196,915,9794,330,25
196,915,9794,330,25
142,839,1357,134,17
142,839,1357,134,17
222,769,4208,301,68
222,769,4208,301,68
222,769,4208,301,68
96,753,6967,139,23
159,706,3856,252,58
159,706,3856,252,58
207,668,7034,335,61
165,587,1841,263,41
171,993,1017,158,19
152,841,2167,246,17
224,732,11664,442,42
418,749,21436,748,116
992,1348,29076,2606,314
992,1348,29076,2606,314
450,552,21652,1317,83
298,890,9102,659,60
161,987,1124,228,29
161,987,1124,228,29
161,987,1124,228,29
116,523,907,182,39
144,608,796,214,14
116,811,735,283,32
116,811,735,283,32
156,812,2433,263,35
299,899,3497,385,56
231,967,969,209,41
118,628,1255,139,16
203,633,1705,264,44
203,633,1705,264,44
157,800,1860,152,32
157,800,1860,152,32
150,555,866,180,20
150,555,866,180,20
150,555,866,180,20
123,579,856,254,30
175,677,620,74,34
151,875,560,178,40
151,875,560,178,40
163,879,322,110,11
149,739,725,210,35
172,671,334,222,21
176,799,771,227,39
254,1174,716,133,58
254,1174,716,133,58
185,876,1300,244,38
167,882,698,190,9
759,1245,34510,1615,117
204,767,6745,286,52
166,585,3485,418,26
189,1006,1894,337,37
189,1006,1894,337,37
149,927,893,278,25
149,927,893,278,25
152,640,285,89,18
152,640,285,89,18
148,842,318,89,30
114,686,916,139,30
114,686,916,139,30
71,615,35,31,21
66,417,82,21,8
60,366,17,29,11
60,366,17,29,11
87,618,54,24,9
99,931,1206,258,6
99,931,1206,258,6
128,976,495,104,17
66,856,382,106,3
66,856,382,106,3
166,640,952,168,18
98,550,426,115,19
102,837,460,108,13
115,657,804,201,17
115,657,804,201,17
115,657,804,201,17
122,715,878,190,25
93,652,361,99,14
60,457,59,25,6
60,457,59,25,6
156,1038,641,509,59
156,1038,641,509,59
331,1370,4547,789,100
112,776,1088,292,16
157,650,529,184,44
125,742,537,141,45
163,620,2048,291,20
163,620,2048,291,20
122,814,468,220,38
113,926,332,145,31
113,926,332,145,31
243,896,720,250,23
260,1346,916,262,25
260,1346,916,262,25
139,1362,783,315,28
252,985,3475,342,62
161,762,1048,297,29
166,634,518,162,24
104,687,159,241,21
192,677,812,187,51
163,748,1153,314,42
163,748,1153,314,42
91,673,559,141,8
84,228,582,88,13
112,287,300,86,21
129,958,990,168,20
129,958,990,168,20
127,477,611,159,26
252,688,995,302,68
252,688,995,302,68
190,973,1700,288,49
235,1144,689,200,61
235,1144,689,200,61
161,781,936,224,31
152,573,494,106,48
667,544,59240,1723,87
301,1037,13706,351,105
301,1037,13706,351,105
169,891,720,177,19
253,932,1387,301,32
146,655,431,70,28
146,655,431,70,28
82,898,265,94,17
188,680,490,174,48
163,1083,5892,293,27
163,1083,5892,293,27
163,1083,5892,293,27
120,1191,575,75,15
118,924,596,126,23
125,963,408,114,11
445,1574,6861,1042,98
445,1574,6861,1042,98
523,1242,21379,952,105
523,1242,21379,952,105
192,1123,1326,252,22
192,1123,1326,252,22
155,706,1739,323,19
107,624,859,156,24
109,766,1506,93,27
109,766,1506,93,27
170,916,302,120,18
87,1092,408,56,12
265,1064,10327,293,27
220,1303,2067,399,58
131,1044,693,112,25
131,1044,693,112,25
139,1325,905,112,13
216,1362,1041,102,47
196,958,684,182,67
106,990,314,165,16
106,990,314,165,16
213,899,3809,322,45
213,899,3809,322,45
613,1314,13832,1127,144
297,665,7320,474,98
197,1114,536,250,44
165,786,698,159,37
165,786,698,159,37
168,684,979,196,30
131,918,779,203,29
122,1013,301,117,16
106,976,277,43,15
162,1054,177,75,6
127,1087,160,161,20
127,1087,160,161,20
243,903,14197,598,37
243,903,14197,598,37
570,934,19125,1761,63
570,934,19125,1761,63
139,1157,77,207,29
139,1576,1617,203,16
171,1467,1278,110,23
171,1467,1278,110,23
154,1164,339,204,21
154,1164,339,204,21
105,897,116,70,10
105,897,116,70,10
154,1234,304,106,22
214,1257,525,216,23
139,878,204,183,23
156,941,1813,268,59
125,918,539,189,22
281,739,12140,375,85
151,786,233,143,43
151,786,233,143,43
136,824,264,116,11
152,775,518,311,38
134,835,425,122,15
113,587,344,65,19
293,932,12373,377,84
166,1106,157,56,16
284,1319,484,122,66
194,859,271,89,58
133,727,171,98,30
105,873,166,54,6
374,871,8890,558,69
145,1375,159,158,23
268,1481,185,107,25
179,1711,204,222,16
330,1498,326,125,16
140,1100,144,163,23
134,985,243,67,16
147,1147,509,85,20
180,1064,1590,289,35
194,1170,151,90,18
194,1170,151,90,18
176,864,405,130,29
75,916,226,37,13
155,711,894,159,25
137,811,225,151,40
137,811,225,151,40
97,972,153,202,23
126,633,57,189,32
126,633,57,189,32
110,718,264,113,29
205,1119,1177,271,26
327,1724,7260,1083,101
474,1432,7751,599,105
474,1432,7751,599,105
738,1673,47205,1689,106
160,1477,213,95,29
223,1576,347,268,41
166,1478,891,114,8
210,1439,761,152,28
216,1522,1685,278,26
151,1438,2439,189,6
187,1705,625,218,24
187,1705,625,218,24
221,1401,620,124,17
233,1146,1026,243,29
143,892,1405,251,29
139,647,940,174,17
131,1013,418,193,33
193,1159,208,109,41
106,1153,217,77,12
142,865,471,227,16
105,1029,318,136,17
145,1063,425,133,37
146,1065,499,115,41
166,1052,332,98,40
114,934,359,95,11
114,934,359,95,11
227,1122,353,116,24
285,1499,1060,216,42
285,1499,1060,216,42
426,2054,6815,584,94
227,1075,651,230,30
126,1480,413,123,13
199,1692,473,156,31
206,1344,364,73,22
206,1344,364,73,22
160,923,418,127,31
385,1186,1058,181,60
112,836,80,54,20
87,785,117,46,12
113,773,388,138,41
113,773,388,138,41
89,765,206,64,5
118,846,1008,180,31
118,967,40,21,13
72,726,135,65,10
109,546,863,111,23
79,589,68,49,16
135,856,816,179,51
111,712,999,211,23
90,654,415,100,12
147,944,581,171,30
118,736,440,95,30
118,736,440,95,30
132,703,412,100,27
214,871,855,404,62
179,958,2231,228,33
179,958,2231,228,33
296,1485,2913,328,83
145,1268,922,43,9
114,1341,197,80,10
132,491,371,119,27
357,1118,10062,680,137
158,974,641,195,27
132,1003,678,127,17
132,1003,678,127,17
179,1214,876,250,30
226,1394,168,64,29
106,1432,540,82,9
259,1874,390,125,23
195,1148,331,114,26
217,1160,2954,163,21
141,1262,411,180,32
133,1159,372,140,17
135,1382,49,147,13
160,1004,125,211,38
120,817,543,161,27
120,817,543,161,27
144,1209,615,134,34
154,1326,342,112,11
197,1175,282,158,15
197,1175,282,158,15
98,996,294,97,10
97,769,66,41,15
97,769,66,41,15
105,867,50,23,12
105,867,50,23,12
157,776,70,37,25
119,1055,687,137,23
141,1527,382,92,30
209,1535,316,187,39
211,1169,557,281,35
292,1331,4193,259,56
196,1278,303,109,26
196,1278,303,109,26
111,728,1055,69,14
240,1190,3515,476,50
92,378,133,42,4
44,84,54,48,14
44,84,54,48,14
41,45,99,101,7
23,40,53,31,3
101,611,941,147,9
132,840,162,68,13
128,719,996,126,21
131,582,474,154,14
182,699,443,97,57
182,699,443,97,57
163,1096,611,272,29
476,1340,37337,1692,55
