sdnn,lf_hf,hr,rmssd,pnn50,nn50,stress
49.59,4.415253529,97,19.33,2,13,40.05
49.59,4.415253529,97,19.33,2,13,39.67
49.59,4.415253529,98,19.33,2,13,40.17
49.59,4.415253529,99,19.33,2,13,40.67
49.59,4.415253529,100,19.33,2,13,41.18
47.6,4.392179508,100,18.83,2,12,40.99
47.6,4.392179508,101,18.83,2,12,41.5
47.6,4.392179508,103,18.83,2,12,42.55
47.6,4.392179508,103,18.83,2,12,42.55
47.6,4.392179508,105,18.83,2,12,43.61
48.26,4.474555202,105,18.97,2,12,44.28
48.26,4.474555202,104,18.97,2,12,43.74
48.26,4.474555202,103,18.97,2,12,43.21
48.26,4.474555202,103,18.97,2,12,43.21
48.6,5.126875638,104,19.2,2,12,49.1
48.6,5.126875638,104,19.2,2,12,49.1
48.6,5.126875638,105,19.2,2,12,49.63
48.6,5.126875638,107,19.2,2,12,50.72
49.66,5.268887846,107,19.13,2,12,51.91
49.66,5.268887846,107,19.13,2,12,51.91
49.66,5.268887846,106,19.13,2,12,51.36
49.42,5.277436348,108,19.17,2,12,52.53
49.42,5.277436348,108,19.17,2,12,52.53
49.26,4.937026764,106,19.08,2,12,48.6
49.26,4.937026764,105,19.08,2,12,48.06
48.84,4.511488733,103,19.14,2,13,43.51
48.84,4.511488733,104,19.14,2,13,44.04
48.2,4.519937573,103,18.1,2,11,43.58
48.2,4.519937573,103,18.1,2,11,43.58
48.2,4.519937573,103,18.1,2,11,43.58
48.2,4.519937573,103,18.1,2,11,43.58
48.01,4.260215995,102,18.32,2,11,40.96
48.01,4.260215995,102,18.32,2,11,40.96
48.01,4.260215995,102,18.32,2,11,40.96
48.01,4.260215995,103,18.32,2,11,41.49
46.93,3.989618262,104,18.88,2,12,39.86
46.76,3.929104716,105,18.92,2,12,39.92
46.76,3.929104716,106,18.92,2,12,40.46
46.76,3.929104716,106,18.92,2,12,40.46
47.19,3.584620978,108,18.69,2,11,38.86
47.19,3.584620978,108,18.69,2,11,38.86
47.19,3.584620978,108,18.69,2,11,38.86
47.58,3.716988154,109,18.68,2,11,40.45
47.58,3.716988154,109,18.68,2,11,40.45
47.58,3.716988154,109,18.68,2,11,40.45
48.15,3.536740248,110,18.66,2,11,39.61
48.15,3.536740248,110,18.66,2,11,39.61
48.9,3.751556275,109,18.63,2,11,40.72
49.31,4.159880834,109,18.23,1,10,43.94
49.31,4.159880834,109,18.23,1,10,43.94
